Match Number,Round Number,Date,Location,HOME,AWAY,
16,1,9/5/2024,GEHA Field at Arrowhead Stadium,KAN,BAL,
15,1,9/6/2024,Arena Corinthians,PHI,GNB,
7,1,9/8/2024,Mercedes-Benz Stadium,ATL,PIT,
8,1,9/8/2024,Highmark Stadium,BUF,ARI,
9,1,9/8/2024,Soldier Field,CHI,TAM,
10,1,9/8/2024,Paycor Stadium,CIN,NWE,
11,1,9/8/2024,Lucas Oil Stadium,IND,HOU,
12,1,9/8/2024,Hard Rock Stadium,MIA,JAX,
13,1,9/8/2024,Caesars Superdome,NOR,CAR,
14,1,9/8/2024,MetLife Stadium,NYG,MIN,
5,1,9/8/2024,SoFi Stadium,LAC,LVR,
6,1,9/8/2024,Lumen Field,SEA,DEN,
3,1,9/8/2024,CLE Stadium,CLE,DAL,
4,1,9/8/2024,Raymond James Stadium,TAM,WAS,
2,1,9/8/2024,Ford Field,DET,LAR,
1,1,9/9/2024,Levi's Stadium,SFO,NYJ,
32,2,9/12/2024,Hard Rock Stadium,MIA,BUF,
22,2,9/15/2024,M&T Bank Stadium,BAL,LVR,
23,2,9/15/2024,Bank of America Stadium,CAR,LAC,
24,2,9/15/2024,AT&T Stadium,DAL,NOR,
25,2,9/15/2024,Ford Field,DET,TAM,
26,2,9/15/2024,Lambeau Field,GNB,IND,
27,2,9/15/2024,EverBank Stadium,JAX,CLE,
28,2,9/15/2024,U.S. Bank Stadium,MIN,SFO,
29,2,9/15/2024,Gillette Stadium,NWE,SEA,
30,2,9/15/2024,Nissan Stadium,TAM,NYJ,
31,2,9/15/2024,Northwest Stadium,WAS,NYG,
21,2,9/15/2024,State Farm Stadium,ARI,LAR,
19,2,9/15/2024,Empower Field at Mile High,DEN,PIT,
20,2,9/15/2024,GEHA Field at Arrowhead Stadium,KAN,CIN,
18,2,9/15/2024,NRG Stadium,HOU,CHI,
17,2,9/16/2024,Lincoln Financial Field,PHI,ATL,
48,3,9/19/2024,MetLife Stadium,NYJ,NWE,
41,3,9/22/2024,CLE Stadium,CLE,NYG,
42,3,9/22/2024,Lucas Oil Stadium,IND,CHI,
43,3,9/22/2024,U.S. Bank Stadium,MIN,HOU,
44,3,9/22/2024,Caesars Superdome,NOR,PHI,
45,3,9/22/2024,Acrisure Stadium,PIT,LAC,
46,3,9/22/2024,Raymond James Stadium,TAM,DEN,
47,3,9/22/2024,Nissan Stadium,TAM,GNB,
39,3,9/22/2024,Allegiant Stadium,LVR,CAR,
40,3,9/22/2024,Lumen Field,SEA,MIA,
36,3,9/22/2024,State Farm Stadium,ARI,DET,
37,3,9/22/2024,AT&T Stadium,DAL,BAL,
38,3,9/22/2024,SoFi Stadium,LAR,SFO,
35,3,9/22/2024,Mercedes-Benz Stadium,ATL,KAN,
34,3,9/23/2024,Highmark Stadium,BUF,JAX,
33,3,9/23/2024,Paycor Stadium,CIN,WAS,
64,4,9/26/2024,MetLife Stadium,NYG,DAL,
56,4,9/29/2024,Mercedes-Benz Stadium,ATL,NOR,
57,4,9/29/2024,Bank of America Stadium,CAR,CIN,
58,4,9/29/2024,Soldier Field,CHI,LAR,
59,4,9/29/2024,Lambeau Field,GNB,MIN,
60,4,9/29/2024,NRG Stadium,HOU,JAX,
61,4,9/29/2024,Lucas Oil Stadium,IND,PIT,
62,4,9/29/2024,MetLife Stadium,NYJ,DEN,
63,4,9/29/2024,Raymond James Stadium,TAM,PHI,
54,4,9/29/2024,State Farm Stadium,ARI,WAS,
55,4,9/29/2024,Levi's Stadium,SFO,NWE,
52,4,9/29/2024,SoFi Stadium,LAC,KAN,
53,4,9/29/2024,Allegiant Stadium,LVR,CLE,
51,4,9/29/2024,M&T Bank Stadium,BAL,BUF,
50,4,9/30/2024,Hard Rock Stadium,MIA,TAM,
49,4,9/30/2024,Ford Field,DET,SEA,
78,5,10/3/2024,Mercedes-Benz Stadium,ATL,TAM,
77,5,10/6/2024,Tottenham Hotspur Stadium,MIN,NYJ,
71,5,10/6/2024,Soldier Field,CHI,CAR,
72,5,10/6/2024,Paycor Stadium,CIN,BAL,
73,5,10/6/2024,NRG Stadium,HOU,BUF,
74,5,10/6/2024,EverBank Stadium,JAX,IND,
75,5,10/6/2024,Gillette Stadium,NWE,MIA,
76,5,10/6/2024,Northwest Stadium,WAS,CLE,
69,5,10/6/2024,Empower Field at Mile High,DEN,LVR,
70,5,10/6/2024,Levi's Stadium,SFO,ARI,
67,5,10/6/2024,SoFi Stadium,LAR,GNB,
68,5,10/6/2024,Lumen Field,SEA,NYG,
66,5,10/6/2024,Acrisure Stadium,PIT,DAL,
65,5,10/7/2024,GEHA Field at Arrowhead Stadium,KAN,NOR,
92,6,10/10/2024,Lumen Field,SEA,SFO,
91,6,10/13/2024,Tottenham Hotspur Stadium,CHI,JAX,
85,6,10/13/2024,M&T Bank Stadium,BAL,WAS,
86,6,10/13/2024,Lambeau Field,GNB,ARI,
87,6,10/13/2024,Gillette Stadium,NWE,HOU,
88,6,10/13/2024,Caesars Superdome,NOR,TAM,
89,6,10/13/2024,Lincoln Financial Field,PHI,CLE,
90,6,10/13/2024,Nissan Stadium,TAM,IND,
83,6,10/13/2024,Empower Field at Mile High,DEN,LAC,
84,6,10/13/2024,Allegiant Stadium,LVR,PIT,
81,6,10/13/2024,Bank of America Stadium,CAR,ATL,
82,6,10/13/2024,AT&T Stadium,DAL,DET,
80,6,10/13/2024,MetLife Stadium,NYG,CIN,
79,6,10/14/2024,MetLife Stadium,NYJ,BUF,
107,7,10/17/2024,Caesars Superdome,NOR,DEN,
106,7,10/20/2024,Wembley Stadium,JAX,NWE,
99,7,10/20/2024,Mercedes-Benz Stadium,ATL,SEA,
100,7,10/20/2024,Highmark Stadium,BUF,TAM,
101,7,10/20/2024,CLE Stadium,CLE,CIN,
102,7,10/20/2024,Lambeau Field,GNB,HOU,
103,7,10/20/2024,Lucas Oil Stadium,IND,MIA,
104,7,10/20/2024,U.S. Bank Stadium,MIN,DET,
105,7,10/20/2024,MetLife Stadium,NYG,PHI,
97,7,10/20/2024,SoFi Stadium,LAR,LVR,
98,7,10/20/2024,Northwest Stadium,WAS,CAR,
96,7,10/20/2024,Levi's Stadium,SFO,KAN,
95,7,10/20/2024,Acrisure Stadium,PIT,NYJ,
94,7,10/21/2024,Raymond James Stadium,TAM,BAL,
93,7,10/21/2024,State Farm Stadium,ARI,LAC,
123,8,10/24/2024,SoFi Stadium,LAR,MIN,
110,8,10/27/2024,Paycor Stadium,CIN,PHI,
115,8,10/27/2024,CLE Stadium,CLE,BAL,
116,8,10/27/2024,Ford Field,DET,TAM,
117,8,10/27/2024,NRG Stadium,HOU,IND,
118,8,10/27/2024,EverBank Stadium,JAX,GNB,
119,8,10/27/2024,Hard Rock Stadium,MIA,ARI,
120,8,10/27/2024,Gillette Stadium,NWE,NYJ,
121,8,10/27/2024,Raymond James Stadium,TAM,ATL,
113,8,10/27/2024,SoFi Stadium,LAC,NOR,
114,8,10/27/2024,Lumen Field,SEA,BUF,
111,8,10/27/2024,Empower Field at Mile High,DEN,CAR,
112,8,10/27/2024,Allegiant Stadium,LVR,KAN,
122,8,10/27/2024,Northwest Stadium,WAS,CHI,
109,8,10/27/2024,Levi's Stadium,SFO,DAL,
108,8,10/28/2024,Acrisure Stadium,PIT,NYG,
138,9,10/31/2024,MetLife Stadium,NYJ,HOU,
129,9,11/3/2024,Mercedes-Benz Stadium,ATL,DAL,
130,9,11/3/2024,M&T Bank Stadium,BAL,DEN,
131,9,11/3/2024,Highmark Stadium,BUF,MIA,
132,9,11/3/2024,Bank of America Stadium,CAR,NOR,
133,9,11/3/2024,Paycor Stadium,CIN,LVR,
134,9,11/3/2024,CLE Stadium,CLE,LAC,
136,9,11/3/2024,MetLife Stadium,NYG,WAS,
137,9,11/3/2024,Nissan Stadium,TAM,NWE,
125,9,11/3/2024,Lincoln Financial Field,PHI,JAX,
128,9,11/3/2024,State Farm Stadium,ARI,CHI,
126,9,11/3/2024,Lambeau Field,GNB,DET,
127,9,11/3/2024,Lumen Field,SEA,LAR,
135,9,11/3/2024,U.S. Bank Stadium,MIN,IND,
124,9,11/4/2024,GEHA Field at Arrowhead Stadium,KAN,TAM,
152,10,11/7/2024,M&T Bank Stadium,BAL,CIN,
151,10,11/10/2024,Allianz Arena,CAR,NYG,
144,10,11/10/2024,Soldier Field,CHI,NWE,
145,10,11/10/2024,Lucas Oil Stadium,IND,BUF,
146,10,11/10/2024,EverBank Stadium,JAX,MIN,
147,10,11/10/2024,GEHA Field at Arrowhead Stadium,KAN,DEN,
148,10,11/10/2024,Caesars Superdome,NOR,ATL,
149,10,11/10/2024,Raymond James Stadium,TAM,SFO,
150,10,11/10/2024,Northwest Stadium,WAS,PIT,
143,10,11/10/2024,SoFi Stadium,LAC,TAM,
141,10,11/10/2024,State Farm Stadium,ARI,NYJ,
142,10,11/10/2024,AT&T Stadium,DAL,PHI,
140,10,11/10/2024,NRG Stadium,HOU,DET,
139,10,11/11/2024,SoFi Stadium,LAR,MIA,
166,11,11/14/2024,Lincoln Financial Field,PHI,WAS,
154,11,11/17/2024,MetLife Stadium,NYJ,IND,
159,11,11/17/2024,Soldier Field,CHI,GNB,
160,11,11/17/2024,Ford Field,DET,JAX,
