Rk,Date,G#,Week,Age,Tm,Home,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Num,Pct,Num.1,Pct.1,Num.2,Pct.2,Position,Player,FantPos,Attempts,Yds,Y/A,TD,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,TD.2,Pts,Fmb,FL,FF,FR,Yds.2,TD.3,Status,Ret,Y/R.1,Yds.3,TD.4
1.0,2024-09-08,1.0,1.0,27.236,NOR,Yes,CAR,W 47-10,,,,,,,,24.0,36%,0.0,0%,5.0,17%,FB,Adam Prentice,FB,,,,,,,,,,,,,,,,,,,,,,,,
2.0,2024-09-15,2.0,2.0,27.243,NOR,No,DAL,W 44-19,,0.0,0.0,0.0,0.0,0.0,0.0,26.0,44%,0.0,0%,6.0,22%,FB,Adam Prentice,FB,,,,,,,,,,,,,,,,,,,,,,,,
3.0,2024-09-22,3.0,3.0,27.25,NOR,Yes,PHI,L 12-15,*,,,,,,,22.0,39%,0.0,0%,7.0,41%,FB,Adam Prentice,FB,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2024-09-29,4.0,4.0,27.257,NOR,No,ATL,L 24-26,,0.0,1.0,0.0,1.0,0.0,0.0,24.0,32%,0.0,0%,15.0,54%,FB,Adam Prentice,FB,,,,,,,,,,,,,,,,,,,,,,,,
5.0,2024-10-07,5.0,5.0,27.265,NOR,No,KAN,L 13-26,,0.0,1.0,0.0,1.0,0.0,0.0,7.0,13%,0.0,0%,12.0,50%,FB,Adam Prentice,FB,,,,,,,,,,,,,,,,,,,,,,,,
6.0,2024-10-13,6.0,6.0,27.271,NOR,Yes,TAM,L 27-51,,,,,,,,12.0,17%,0.0,0%,15.0,41%,FB,Adam Prentice,FB,,,,,,,,,,,,,,,,,,,,,,,,
7.0,2024-10-17,7.0,7.0,27.275,NOR,Yes,DEN,L 10-33,*,0.0,1.0,0.0,1.0,0.0,0.0,13.0,19%,0.0,0%,13.0,45%,FB,Adam Prentice,FB,,,,,,,,,,,,,,,,,,,,,,,,
8.0,2024-10-27,8.0,8.0,27.285,NOR,No,LAC,L 8-26,,0.0,0.0,0.0,0.0,0.0,0.0,12.0,16%,0.0,0%,19.0,56%,FB,Adam Prentice,FB,,,,,,,,,,,,,,,,,,,,,,,,
9.0,2024-11-03,9.0,9.0,27.292,NOR,No,CAR,L 22-23,,0.0,0.0,1.0,1.0,0.0,0.0,21.0,27%,0.0,0%,16.0,55%,FB,Adam Prentice,FB,,,,,,,,,,,,,,,,,,,,,,,,
10.0,2024-11-10,10.0,10.0,27.299,NOR,Yes,ATL,W 20-17,*,,,,,,,18.0,34%,0.0,0%,17.0,63%,FB,Adam Prentice,FB,,,,,,,,,,,,,,,,,,,,,,,,
11.0,2024-11-17,11.0,11.0,27.306,NOR,Yes,CLE,W 35-14,*,,,,,,,20.0,33%,0.0,0%,7.0,28%,FB,Adam Prentice,FB,,,,,,,,,,,,,,,,,,,,,,,,
12.0,2024-12-01,12.0,13.0,27.32,NOR,Yes,LAR,L 14-21,*,,,,,,,13.0,19%,0.0,0%,8.0,38%,FB,Adam Prentice,FB,,,,,,,,,,,,,,,,,,,,,,,,
13.0,2024-12-08,13.0,14.0,27.327,NOR,No,NYG,W 14-11,*,,,,,,,26.0,38%,0.0,0%,19.0,66%,FB,Adam Prentice,FB,,,,,,,,,,,,,,,,,,,,,,,,
14.0,2024-12-15,14.0,15.0,27.334,NOR,Yes,WAS,L 19-20,*,0.0,1.0,0.0,1.0,0.0,0.0,10.0,18%,0.0,0%,16.0,64%,FB,Adam Prentice,FB,,,,,,,,,,,,,,,,,,,,,,,,
15.0,2024-12-23,15.0,16.0,27.342,NOR,No,GNB,L 0-34,,0.0,0.0,1.0,1.0,0.0,0.0,6.0,11%,0.0,0%,15.0,72%,FB,Adam Prentice,FB,,,,,,,,,,,,,,,,,,,,,,,,
16.0,2024-12-29,16.0,17.0,27.348,NOR,Yes,LVR,L 10-25,,0.0,1.0,0.0,1.0,0.0,0.0,6.0,10%,0.0,0%,17.0,61%,FB,Adam Prentice,FB,,,,,,,,,,,,,,,,,,,,,,,,
1.0,2024-09-08,1.0,1.0,28.061,MIA,Yes,JAX,W 20-17,,0.0,0.0,0.0,0.0,0.0,0.0,29.0,41%,0.0,0%,7.0,28%,FB,Alec Ingold,FB,2.0,8.0,4.0,0.0,1.0,0.0,0.0,,0.0,0.0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2.0,2024-09-12,2.0,2.0,28.065,MIA,Yes,BUF,L 10-31,*,0.0,0.0,0.0,0.0,0.0,0.0,24.0,32%,0.0,0%,7.0,33%,FB,Alec Ingold,FB,2.0,2.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0%,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
