Rk,Date,G#,Week,Age,Tm,Home,Opp,Result,GS,Attempts,Yds,Y/A,TD,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,TD.2,Pts,Fmb,FL,FF,FR,Yds.2,TD.3,Num,Pct,Num.1,Pct.1,Num.2,Pct.2,Position,Player,FantPos,Rt,Y/Rt,Status,2PM,Ret,Yds.3,Y/R.1,TD.4,Sk,Solo,Ast,Comb,TFL,QBHits,Yds.4,TD.5,Cmp,Att.1,Cmp%,Int,Rate,Y/A.1,AY/A
1.0,2024-09-08,1.0,1.0,29.281,MIN,No,NYG,W 28-6,*,14.0,94.0,6.71,1.0,2.0,2.0,15.0,7.5,0.0,100.0%,7.5,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,55%,0.0,0%,0.0,0%,RB,Aaron Jones,RB,,,,,,,,,,,,,,,,,,,,,,,
2.0,2024-09-15,2.0,2.0,29.288,MIN,Yes,SFO,W 23-17,*,9.0,32.0,3.56,0.0,6.0,5.0,36.0,7.2,0.0,83.3%,6.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,33.0,61%,0.0,0%,0.0,0%,RB,Aaron Jones,RB,,,,,,,,,,,,,,,,,,,,,,,
3.0,2024-09-22,3.0,3.0,29.295,MIN,Yes,HOU,W 34-7,*,19.0,102.0,5.37,0.0,6.0,5.0,46.0,9.2,1.0,83.3%,7.67,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,60%,0.0,0%,0.0,0%,RB,Aaron Jones,RB,,,,,,,,,,,,,,,,,,,,,,,
4.0,2024-09-29,4.0,4.0,29.302,MIN,No,GNB,W 31-29,*,22.0,93.0,4.23,0.0,5.0,4.0,46.0,11.5,0.0,80.0%,9.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,82%,0.0,0%,0.0,0%,RB,Aaron Jones,RB,,,,,,,,,,,,,,,,,,,,,,,
5.0,2024-10-06,5.0,5.0,29.309,MIN,Yes,NYJ,W 23-17,*,7.0,29.0,4.14,0.0,1.0,1.0,24.0,24.0,0.0,100.0%,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,22%,0.0,0%,0.0,0%,RB,Aaron Jones,RB,,,,,,,,,,,,,,,,,,,,,,,
6.0,2024-10-20,6.0,7.0,29.323,MIN,Yes,DET,L 29-31,*,14.0,93.0,6.64,1.0,3.0,3.0,23.0,7.67,0.0,100.0%,7.67,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,72%,0.0,0%,0.0,0%,RB,Aaron Jones,RB,,,,,,,,,,,,,,,,,,,,,,,
7.0,2024-10-24,7.0,8.0,29.327,MIN,No,LAR,L 20-30,*,19.0,58.0,3.05,0.0,2.0,2.0,37.0,18.5,0.0,100.0%,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,92%,0.0,0%,0.0,0%,RB,Aaron Jones,RB,,,,,,,,,,,,,,,,,,,,,,,
8.0,2024-11-03,8.0,9.0,29.337,MIN,Yes,IND,W 21-13,*,21.0,64.0,3.05,0.0,4.0,4.0,18.0,4.5,0.0,100.0%,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,75%,0.0,0%,0.0,0%,RB,Aaron Jones,RB,,,,,,,,,,,,,,,,,,,,,,,
9.0,2024-11-10,9.0,10.0,29.344,MIN,No,JAX,W 12-7,*,17.0,88.0,5.18,0.0,3.0,2.0,13.0,6.5,0.0,66.7%,4.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,52%,0.0,0%,0.0,0%,RB,Aaron Jones,RB,,,,,,,,,,,,,,,,,,,,,,,
10.0,2024-11-17,10.0,11.0,29.351,MIN,No,TEN,W 23-13,*,15.0,39.0,2.6,0.0,1.0,1.0,4.0,4.0,0.0,100.0%,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,39.0,53%,0.0,0%,0.0,0%,RB,Aaron Jones,RB,,,,,,,,,,,,,,,,,,,,,,,
