Rk,Date,G#,Week,Age,Tm,Home,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD.1,Pts,Fmb,FL,FF,FR,Yds.1,TD.2,Num,Pct,Num.1,Pct.1,Num.2,Pct.2,Position,Player,FantPos,Sk,Solo,Ast,Comb,TFL,QBHits,Status,Attempts,Y/A,Yds.2,TD.3,2PM,Cmp,Att.1,Cmp%,Int,Rate,Yds.3,Y/A.1,AY/A,Rt,Yds.4,Y/Rt,TD.4,Sk.1,Yds.5,TD.5
1.0,2024-09-08,1.0,1.0,27.216,DEN,No,SEA,L 20-26,*,1.0,0.0,0.0,,0.0,0.0%,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,24.0,35%,0.0,0%,8.0,24%,TE,Adam Trautman,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,2024-09-15,2.0,2.0,27.223,DEN,Yes,PIT,L 6-13,*,,,,,,0.0%,,0.0,0.0,,,,,,,25.0,41%,0.0,0%,3.0,12%,TE,Adam Trautman,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,2024-09-22,3.0,3.0,27.23,DEN,No,TAM,W 26-7,*,1.0,1.0,13.0,13.0,0.0,100.0%,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,68%,0.0,0%,2.0,9%,TE,Adam Trautman,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2024-09-29,4.0,4.0,27.237,DEN,No,NYJ,W 10-9,*,,,,,,0.0%,,0.0,0.0,,,,,,,28.0,46%,0.0,0%,3.0,11%,TE,Adam Trautman,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,2024-10-06,5.0,5.0,27.244,DEN,Yes,LVR,W 34-18,*,1.0,1.0,19.0,19.0,0.0,100.0%,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,54%,0.0,0%,4.0,13%,TE,Adam Trautman,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,2024-10-13,6.0,6.0,27.251,DEN,Yes,LAC,L 16-23,*,,,,,,0.0%,,0.0,0.0,,,,,,,17.0,31%,0.0,0%,6.0,22%,TE,Adam Trautman,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,2024-10-17,7.0,7.0,27.255,DEN,No,NOR,W 33-10,,3.0,0.0,0.0,,0.0,0.0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,62%,0.0,0%,3.0,10%,TE,Adam Trautman,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,2024-10-27,8.0,8.0,27.265,DEN,Yes,CAR,W 28-14,*,4.0,4.0,85.0,21.25,1.0,100.0%,21.25,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,56%,0.0,0%,3.0,13%,TE,Adam Trautman,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,2024-11-03,9.0,9.0,27.272,DEN,No,BAL,L 10-41,*,1.0,1.0,4.0,4.0,0.0,100.0%,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,61%,0.0,0%,8.0,32%,TE,Adam Trautman,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,2024-11-10,10.0,10.0,27.279,DEN,No,KAN,L 14-16,*,1.0,1.0,34.0,34.0,0.0,100.0%,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,59%,0.0,0%,5.0,20%,TE,Adam Trautman,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.0,2024-11-17,11.0,11.0,27.286,DEN,Yes,ATL,W 38-6,*,1.0,0.0,0.0,,0.0,0.0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,60%,0.0,0%,3.0,12%,TE,Adam Trautman,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,2024-11-24,12.0,12.0,27.293,DEN,No,LVR,W 29-19,,2.0,1.0,3.0,3.0,0.0,50.0%,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,53%,0.0,0%,5.0,15%,TE,Adam Trautman,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.0,2024-12-02,13.0,13.0,27.301,DEN,Yes,CLE,W 41-32,*,1.0,0.0,0.0,,0.0,0.0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,56%,0.0,0%,6.0,16%,TE,Adam Trautman,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.0,2024-12-15,14.0,15.0,27.314,DEN,Yes,IND,W 31-13,,2.0,2.0,20.0,10.0,1.0,100.0%,10.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,43%,0.0,0%,4.0,13%,TE,Adam Trautman,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,2024-12-19,15.0,16.0,27.318,DEN,No,LAC,L 27-34,*,1.0,1.0,5.0,5.0,0.0,100.0%,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,44%,0.0,0%,7.0,24%,TE,Adam Trautman,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.0,2024-12-28,16.0,17.0,27.327,DEN,No,CIN,L 24-30,*,3.0,1.0,5.0,5.0,0.0,33.3%,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,48%,0.0,0%,5.0,20%,TE,Adam Trautman,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,2024-09-08,1.0,1.0,22.128,SEA,Yes,DEN,W 26-20,,,,,,,0.0%,,0.0,0.0,,,,,,,32.0,48%,0.0,0%,9.0,26%,TE,AJ Barner,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,2024-09-15,2.0,2.0,22.135,SEA,No,NWE,W 23-20,,,,,,,0.0%,,0.0,0.0,,,,,,,25.0,36%,0.0,0%,10.0,32%,TE,AJ Barner,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,2024-09-22,3.0,3.0,22.142,SEA,Yes,MIA,W 24-3,*,3.0,3.0,13.0,4.33,0.0,100.0%,4.33,0.0,0.0,,,,,,,18.0,28%,0.0,0%,10.0,37%,TE,AJ Barner,TE,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
4.0,2024-09-30,4.0,4.0,22.15,SEA,No,DET,L 29-42,,2.0,2.0,27.0,13.5,1.0,100.0%,13.5,1.0,6.0,,,,,,,35.0,39%,0.0,0%,4.0,14%,TE,AJ Barner,TE,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
5.0,2024-10-06,5.0,5.0,22.156,SEA,Yes,NYG,L 20-29,,1.0,1.0,13.0,13.0,0.0,100.0%,13.0,0.0,0.0,,,,,,,15.0,26%,0.0,0%,12.0,40%,TE,AJ Barner,TE,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
6.0,2024-10-10,6.0,6.0,22.16,SEA,Yes,SFO,L 24-36,*,1.0,1.0,13.0,13.0,0.0,100.0%,13.0,0.0,0.0,,,,,,,24.0,31%,0.0,0%,12.0,40%,TE,AJ Barner,TE,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
7.0,2024-10-20,7.0,7.0,22.17,SEA,No,ATL,W 34-14,,1.0,1.0,5.0,5.0,0.0,100.0%,5.0,0.0,0.0,,,,,,,24.0,40%,0.0,0%,9.0,35%,TE,AJ Barner,TE,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
8.0,2024-10-27,8.0,8.0,22.177,SEA,Yes,BUF,L 10-31,,2.0,2.0,34.0,17.0,0.0,100.0%,17.0,0.0,0.0,,,,,,,19.0,37%,0.0,0%,8.0,35%,TE,AJ Barner,TE,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
